Line,Location,RL,East,North,Res_ohmm,LogRes,Cond_Ms_m,LogCond
11260,25.0,581.9,740329.81,7171996.00,1000.00,3.00,1.00,0.00
11260,25.0,571.9,740329.81,7171996.00,1000.00,3.00,1.00,0.00
11260,25.0,561.9,740329.81,7171996.00,1000.00,3.00,1.00,0.00
11260,25.0,551.9,740329.81,7171996.00,1000.00,3.00,1.00,0.00
11260,25.0,541.9,740329.81,7171996.00,1000.00,3.00,1.00,0.00
11260,25.0,529.4,740329.81,7171996.00,1000.00,3.00,1.00,0.00
11260,25.0,511.9,740329.81,7171996.00,1000.00,3.00,1.00,0.00
11260,25.0,491.3,740329.81,7171996.00,1000.00,3.00,1.00,0.00
11260,25.0,469.4,740329.81,7171996.00,1000.00,3.00,1.00,0.00
11260,25.0,446.3,740329.81,7171996.00,1000.00,3.00,1.00,0.00
11260,25.0,421.7,740329.81,7171996.00,1000.00,3.00,1.00,0.00
11260,25.0,395.7,740329.81,7171996.00,1000.00,3.00,1.00,0.00
11260,25.0,368.2,740329.81,7171996.00,1000.00,3.00,1.00,0.00
11260,25.0,338.9,740329.81,7171996.00,1000.00,3.00,1.00,0.00
11260,25.0,308.0,740329.81,7171996.00,1000.00,3.00,1.00,0.00
11260,25.0,275.1,740329.81,7171996.00,1000.00,3.00,1.00,0.00
11260,25.0,240.3,740329.81,7171996.00,1000.00,3.00,1.00,0.00
11260,25.0,203.2,740329.81,7171996.00,1000.00,3.00,1.00,0.00
11260,25.0,163.5,740329.81,7171996.00,1000.00,3.00,1.00,0.00
11260,25.0,121.5,740329.81,7171996.00,1000.00,3.00,1.00,0.00
11260,25.0,77.0,740329.81,7171996.00,1000.00,3.00,1.00,0.00
11260,25.0,29.8,740329.81,7171996.00,1000.00,3.00,1.00,0.00
11260,75.0,583.6,740329.81,7172046.00,1000.00,3.00,1.00,0.00
11260,75.0,573.6,740329.81,7172046.00,1000.00,3.00,1.00,0.00
11260,75.0,563.6,740329.81,7172046.00,1000.00,3.00,1.00,0.00
11260,75.0,553.6,740329.81,7172046.00,1000.00,3.00,1.00,0.00
11260,75.0,543.6,740329.81,7172046.00,1000.00,3.00,1.00,0.00
11260,75.0,531.1,740329.81,7172046.00,1000.00,3.00,1.00,0.00
11260,75.0,513.6,740329.81,7172046.00,1000.00,3.00,1.00,0.00
11260,75.0,493.0,740329.81,7172046.00,1000.00,3.00,1.00,0.00
11260,75.0,471.2,740329.81,7172046.00,1000.00,3.00,1.00,0.00
11260,75.0,448.0,740329.81,7172046.00,1000.00,3.00,1.00,0.00
11260,75.0,423.5,740329.81,7172046.00,1000.00,3.00,1.00,0.00
11260,75.0,397.5,740329.81,7172046.00,1000.00,3.00,1.00,0.00
11260,75.0,369.9,740329.81,7172046.00,1000.00,3.00,1.00,0.00
11260,75.0,340.7,740329.81,7172046.00,1000.00,3.00,1.00,0.00
11260,75.0,309.7,740329.81,7172046.00,1000.00,3.00,1.00,0.00
11260,75.0,276.9,740329.81,7172046.00,1000.00,3.00,1.00,0.00
11260,75.0,242.1,740329.81,7172046.00,1000.00,3.00,1.00,0.00
11260,75.0,204.7,740329.81,7172046.00,1000.00,3.00,1.00,0.00
11260,75.0,164.7,740329.81,7172046.00,1000.00,3.00,1.00,0.00
11260,75.0,122.3,740329.81,7172046.00,1000.00,3.00,1.00,0.00
11260,75.0,77.5,740329.81,7172046.00,1000.00,3.00,1.00,0.00
11260,75.0,30.0,740329.81,7172046.00,1000.00,3.00,1.00,0.00
11260,125.0,585.3,740329.81,7172096.00,1000.00,3.00,1.00,0.00
11260,125.0,575.3,740329.81,7172096.00,1000.00,3.00,1.00,0.00
11260,125.0,565.3,740329.81,7172096.00,1000.00,3.00,1.00,0.00
11260,125.0,555.3,740329.81,7172096.00,1000.00,3.00,1.00,0.00
11260,125.0,545.3,740329.81,7172096.00,1000.00,3.00,1.00,0.00
11260,125.0,532.8,740329.81,7172096.00,1000.00,3.00,1.00,0.00
11260,125.0,515.3,740329.81,7172096.00,1000.00,3.00,1.00,0.00
11260,125.0,494.7,740329.81,7172096.00,1000.00,3.00,1.00,0.00
11260,125.0,472.9,740329.81,7172096.00,1000.00,3.00,1.00,0.00
11260,125.0,449.7,740329.81,7172096.00,1000.00,3.00,1.00,0.00
11260,125.0,425.2,740329.81,7172096.00,1000.00,3.00,1.00,0.00
11260,125.0,399.2,740329.81,7172096.00,1000.00,3.00,1.00,0.00
11260,125.0,371.6,740329.81,7172096.00,1000.00,3.00,1.00,0.00
11260,125.0,342.4,740329.81,7172096.00,1000.00,3.00,1.00,0.00
11260,125.0,311.4,740329.81,7172096.00,1000.00,3.00,1.00,0.00
11260,125.0,278.6,740329.81,7172096.00,1000.00,3.00,1.00,0.00
11260,125.0,243.8,740329.81,7172096.00,1000.00,3.00,1.00,0.00
11260,125.0,206.3,740329.81,7172096.00,1000.00,3.00,1.00,0.00
11260,125.0,165.9,740329.81,7172096.00,1000.00,3.00,1.00,0.00
11260,125.0,123.2,740329.81,7172096.00,1000.00,3.00,1.00,0.00
11260,125.0,78.0,740329.81,7172096.00,1000.00,3.00,1.00,0.00
11260,125.0,30.2,740329.81,7172096.00,1000.00,3.00,1.00,0.00
11260,175.0,587.0,740329.81,7172146.00,1000.00,3.00,1.00,0.00
11260,175.0,577.0,740329.81,7172146.00,1000.00,3.00,1.00,0.00
11260,175.0,567.0,740329.81,7172146.00,1000.00,3.00,1.00,0.00
11260,175.0,557.0,740329.81,7172146.00,1000.00,3.00,1.00,0.00
11260,175.0,547.0,740329.81,7172146.00,1000.00,3.00,1.00,0.00
11260,175.0,534.5,740329.81,7172146.00,1000.00,3.00,1.00,0.00
11260,175.0,517.0,740329.81,7172146.00,1000.00,3.00,1.00,0.00
11260,175.0,496.4,740329.81,7172146.00,1000.00,3.00,1.00,0.00
11260,175.0,474.6,740329.81,7172146.00,1000.00,3.00,1.00,0.00
11260,175.0,451.4,740329.81,7172146.00,1000.00,3.00,1.00,0.00
11260,175.0,426.9,740329.81,7172146.00,1000.00,3.00,1.00,0.00
