 East  ,  RL  ,  Delpar	 
      25.0,     581.9,      0.01
      25.0,     571.9,      0.02
      25.0,     561.9,      0.02
      25.0,     551.9,      0.02
      25.0,     541.9,      0.02
      25.0,     529.4,      0.01
      25.0,     511.9,      0.01
      25.0,     491.3,      0.01
      25.0,     469.4,      0.00
      25.0,     446.3,      0.00
      25.0,     421.7,      0.00
      25.0,     395.7,      0.00
      25.0,     368.2,      0.00
      25.0,     338.9,      0.00
      25.0,     308.0,      0.00
      25.0,     275.1,      0.00
      25.0,     240.3,      0.00
      25.0,     203.2,      0.00
      25.0,     163.5,      0.00
      25.0,     121.5,      0.00
      25.0,      77.0,      0.00
      25.0,      29.8,      0.00
      75.0,     583.6,      0.01
      75.0,     573.6,      0.01
      75.0,     563.6,      0.01
      75.0,     553.6,      0.01
      75.0,     543.6,      0.01
      75.0,     531.1,      0.01
      75.0,     513.6,      0.01
      75.0,     493.0,      0.00
      75.0,     471.2,      0.00
      75.0,     448.0,      0.00
      75.0,     423.5,      0.00
      75.0,     397.5,      0.00
      75.0,     369.9,      0.00
      75.0,     340.7,      0.00
      75.0,     309.7,      0.00
      75.0,     276.9,      0.00
      75.0,     242.1,      0.00
      75.0,     204.7,      0.00
      75.0,     164.7,      0.00
      75.0,     122.3,      0.00
      75.0,      77.5,      0.00
      75.0,      30.0,      0.00
     125.0,     585.3,      0.04
     125.0,     575.3,      0.03
     125.0,     565.3,      0.02
     125.0,     555.3,      0.02
     125.0,     545.3,      0.01
     125.0,     532.8,      0.00
     125.0,     515.3,      0.00
     125.0,     494.7,     -0.00
     125.0,     472.9,     -0.00
     125.0,     449.7,     -0.00
     125.0,     425.2,     -0.00
     125.0,     399.2,      0.00
     125.0,     371.6,      0.00
     125.0,     342.4,      0.00
     125.0,     311.4,      0.00
     125.0,     278.6,      0.00
     125.0,     243.8,      0.00
     125.0,     206.3,      0.00
     125.0,     165.9,      0.00
     125.0,     123.2,      0.00
     125.0,      78.0,      0.00
     125.0,      30.2,      0.00
     175.0,     587.0,     -0.00
     175.0,     577.0,     -0.00
     175.0,     567.0,     -0.01
     175.0,     557.0,     -0.01
     175.0,     547.0,     -0.01
     175.0,     534.5,     -0.01
     175.0,     517.0,     -0.01
     175.0,     496.4,     -0.01
     175.0,     474.6,     -0.01
     175.0,     451.4,     -0.00
     175.0,     426.9,     -0.00
     175.0,     400.9,     -0.00
     175.0,     373.3,      0.00
     175.0,     344.1,      0.00
     175.0,     313.1,      0.00
     175.0,     280.3,      0.00
     175.0,     245.5,      0.00
     175.0,     207.8,      0.00
     175.0,     167.1,      0.00
     175.0,     124.0,      0.00
     175.0,      78.5,      0.00
     175.0,      30.3,      0.00
     225.0,     588.6,     -0.02
     225.0,     578.6,     -0.02
