 East  ,  RL  ,  Delpar	 
      50.0,      25.6,      0.12
      50.0,      22.6,      0.13
      50.0,      19.6,      0.15
      50.0,      16.6,      0.17
      50.0,      13.6,      0.17
      50.0,      10.6,      0.16
      50.0,       7.6,      0.14
      50.0,       4.6,      0.12
      50.0,       1.6,      0.09
      50.0,      -1.4,      0.07
      50.0,      -4.4,      0.05
      50.0,      -7.4,      0.04
      50.0,     -10.4,      0.03
      50.0,     -13.4,      0.02
      50.0,     -16.4,      0.01
      50.0,     -19.4,      0.01
      50.0,     -22.4,      0.01
      50.0,     -25.4,      0.00
      50.0,     -28.4,      0.00
      50.0,     -31.4,      0.00
      50.0,     -34.6,     -0.00
      50.0,     -38.1,     -0.00
      50.0,     -41.6,     -0.00
      50.0,     -45.0,     -0.00
      50.0,     -48.5,     -0.00
      50.0,     -52.0,     -0.00
      50.0,     -55.5,     -0.00
      50.0,     -58.9,     -0.00
      50.0,     -62.4,     -0.00
      50.0,     -65.9,     -0.00
     150.0,      24.6,      0.14
     150.0,      21.6,      0.16
     150.0,      18.6,      0.18
     150.0,      15.6,      0.22
     150.0,      12.6,      0.23
     150.0,       9.6,      0.22
     150.0,       6.6,      0.18
     150.0,       3.6,      0.15
     150.0,       0.6,      0.11
     150.0,      -2.4,      0.08
     150.0,      -5.4,      0.06
     150.0,      -8.4,      0.04
     150.0,     -11.4,      0.03
     150.0,     -14.4,      0.02
     150.0,     -17.4,      0.01
     150.0,     -20.4,      0.01
     150.0,     -23.4,      0.01
     150.0,     -26.4,      0.00
     150.0,     -29.4,      0.00
     150.0,     -32.4,      0.00
     150.0,     -35.6,     -0.00
     150.0,     -39.0,     -0.00
     150.0,     -42.3,     -0.00
     150.0,     -45.7,     -0.00
     150.0,     -49.1,     -0.00
     150.0,     -52.4,     -0.00
     150.0,     -55.8,     -0.00
     150.0,     -59.2,     -0.00
     150.0,     -62.6,     -0.00
     150.0,     -65.9,     -0.00
     250.0,      23.8,      0.19
     250.0,      20.8,      0.20
     250.0,      17.8,      0.24
     250.0,      14.8,      0.32
     250.0,      11.8,      0.36
     250.0,       8.8,      0.33
     250.0,       5.8,      0.27
     250.0,       2.8,      0.20
     250.0,      -0.2,      0.15
     250.0,      -3.2,      0.11
     250.0,      -6.2,      0.08
     250.0,      -9.2,      0.05
     250.0,     -12.2,      0.04
     250.0,     -15.2,      0.03
     250.0,     -18.2,      0.02
     250.0,     -21.2,      0.01
     250.0,     -24.2,      0.01
     250.0,     -27.2,      0.00
     250.0,     -30.2,      0.00
     250.0,     -33.2,     -0.00
     250.0,     -36.3,     -0.00
     250.0,     -39.6,     -0.00
     250.0,     -42.9,     -0.00
     250.0,     -46.2,     -0.01
     250.0,     -49.5,     -0.01
     250.0,     -52.8,     -0.01
     250.0,     -56.1,     -0.01
     250.0,     -59.4,     -0.01
     250.0,     -62.7,     -0.01
     250.0,     -66.0,     -0.01
     350.0,      24.7,      0.32
     350.0,      21.7,      0.23
     350.0,      18.7,      0.18
     350.0,      15.7,      0.28
     350.0,      12.7,      0.40
     350.0,       9.7,      0.40
     350.0,       6.7,      0.33
     350.0,       3.7,      0.25
     350.0,       0.7,      0.18
     350.0,      -2.3,      0.13
     350.0,      -5.3,      0.09
     350.0,      -8.3,      0.06
     350.0,     -11.3,      0.04
     350.0,     -14.3,      0.02
     350.0,     -17.3,      0.01
     350.0,     -20.3,      0.01
     350.0,     -23.3,      0.00
     350.0,     -26.3,     -0.00
     350.0,     -29.3,     -0.01
     350.0,     -32.3,     -0.01
