  Local_Location , East , North , Elevation , Conductivity(mS/m) , LogConductivity(mS/m)
      225.0 ,    734929.6 ,   7170212.5 ,       558.3 ,              10.0000 ,               1.0000
      275.0 ,    734929.6 ,   7170262.5 ,       558.1 ,              10.0000 ,               1.0000
      325.0 ,    734929.6 ,   7170312.5 ,       558.2 ,              10.0000 ,               1.0000
      375.0 ,    734929.7 ,   7170362.5 ,       558.1 ,              10.0000 ,               1.0000
      425.0 ,    734929.8 ,   7170412.5 ,       558.2 ,              10.0000 ,               1.0000
      475.0 ,    734929.8 ,   7170462.5 ,       558.2 ,              10.0000 ,               1.0000
      525.0 ,    734929.9 ,   7170512.5 ,       558.1 ,              10.0000 ,               1.0000
      575.0 ,    734929.9 ,   7170562.5 ,       558.2 ,              10.0000 ,               1.0000
      625.0 ,    734930.0 ,   7170612.5 ,       558.0 ,              10.0000 ,               1.0000
      675.0 ,    734930.0 ,   7170662.5 ,       559.1 ,              10.0000 ,               1.0000
      725.0 ,    734930.1 ,   7170712.5 ,       561.5 ,              10.0000 ,               1.0000
      775.0 ,    734930.1 ,   7170762.5 ,       562.3 ,              10.0000 ,               1.0000
      825.0 ,    734930.2 ,   7170812.5 ,       562.2 ,              10.0000 ,               1.0000
      875.0 ,    734930.2 ,   7170862.5 ,       562.2 ,              10.0000 ,               1.0000
      925.0 ,    734930.3 ,   7170912.5 ,       562.2 ,              10.0000 ,               1.0000
      975.0 ,    734930.4 ,   7170962.5 ,       562.2 ,              10.0000 ,               1.0000
     1025.0 ,    734930.4 ,   7171012.5 ,       562.2 ,              10.0000 ,               1.0000
     1075.0 ,    734930.4 ,   7171062.5 ,       562.2 ,              10.0000 ,               1.0000
     1125.0 ,    734930.5 ,   7171112.5 ,       562.2 ,              10.0000 ,               1.0000
     1175.0 ,    734930.6 ,   7171162.5 ,       562.2 ,              10.0000 ,               1.0000
     1225.0 ,    734930.6 ,   7171212.5 ,       562.1 ,               6.6667 ,               0.8239
     1275.0 ,    734930.6 ,   7171262.5 ,       563.9 ,               6.6667 ,               0.8239
     1325.0 ,    734930.7 ,   7171312.5 ,       566.1 ,               6.6667 ,               0.8239
     1375.0 ,    734930.8 ,   7171362.5 ,       566.3 ,               6.6667 ,               0.8239
     1425.0 ,    734930.8 ,   7171412.5 ,       566.2 ,               6.6667 ,               0.8239
     1475.0 ,    734930.9 ,   7171462.5 ,       566.4 ,               6.6667 ,               0.8239
     1525.0 ,    734930.9 ,   7171512.5 ,       565.5 ,               6.6667 ,               0.8239
     1575.0 ,    734931.0 ,   7171562.5 ,       563.1 ,               6.6667 ,               0.8239
     1625.0 ,    734931.0 ,   7171612.5 ,       562.2 ,               6.6667 ,               0.8239
     1675.0 ,    734931.1 ,   7171662.5 ,       560.8 ,               6.6667 ,               0.8239
     1725.0 ,    734931.1 ,   7171712.5 ,       558.5 ,               6.6667 ,               0.8239
     1775.0 ,    734931.2 ,   7171762.5 ,       558.1 ,               6.6667 ,               0.8239
     1825.0 ,    734931.2 ,   7171812.5 ,       560.3 ,               6.6667 ,               0.8239
     1875.0 ,    734931.3 ,   7171862.5 ,       562.3 ,               6.6667 ,               0.8239
     1925.0 ,    734931.4 ,   7171912.5 ,       562.2 ,               6.6667 ,               0.8239
     1975.0 ,    734931.4 ,   7171962.5 ,       562.2 ,               6.6667 ,               0.8239
     2025.0 ,    734931.4 ,   7172012.5 ,       562.3 ,              10.0000 ,               1.0000
     2075.0 ,    734931.5 ,   7172062.5 ,       561.0 ,              10.0000 ,               1.0000
     2125.0 ,    734931.6 ,   7172112.5 ,       558.7 ,              10.0000 ,               1.0000
     2175.0 ,    734931.6 ,   7172162.5 ,       558.1 ,              10.0000 ,               1.0000
     2225.0 ,    734931.6 ,   7172212.5 ,       558.2 ,              10.0000 ,               1.0000
     2275.0 ,    734931.8 ,   7172262.5 ,       558.2 ,              10.0000 ,               1.0000
     2325.0 ,    734931.8 ,   7172312.5 ,       557.8 ,              10.0000 ,               1.0000
     2375.0 ,    734931.8 ,   7172362.5 ,       555.5 ,              10.0000 ,               1.0000
     2425.0 ,    734931.9 ,   7172412.5 ,       553.9 ,              10.0000 ,               1.0000
     2475.0 ,    734931.9 ,   7172462.5 ,       554.1 ,              10.0000 ,               1.0000
     2525.0 ,    734932.0 ,   7172512.5 ,       554.1 ,              10.0000 ,               1.0000
     2575.0 ,    734932.1 ,   7172562.5 ,       554.1 ,              10.0000 ,               1.0000
     2625.0 ,    734932.1 ,   7172612.5 ,       554.1 ,              10.0000 ,               1.0000
     2675.0 ,    734932.1 ,   7172662.5 ,       554.1 ,              10.0000 ,               1.0000
     2725.0 ,    734932.2 ,   7172712.5 ,       552.0 ,              10.0000 ,               1.0000
     2775.0 ,    734932.2 ,   7172762.5 ,       550.0 ,              10.0000 ,               1.0000
     2825.0 ,    734932.3 ,   7172812.5 ,       550.1 ,              10.0000 ,               1.0000
     2875.0 ,    734932.4 ,   7172862.5 ,       550.0 ,              10.0000 ,               1.0000
     2925.0 ,    734932.4 ,   7172912.5 ,       550.1 ,              10.0000 ,               1.0000
     2975.0 ,    734932.5 ,   7172962.5 ,       550.1 ,              10.0000 ,               1.0000
     3025.0 ,    734932.5 ,   7173012.5 ,       550.1 ,              10.0000 ,               1.0000
     3075.0 ,    734932.6 ,   7173062.5 ,       550.1 ,              10.0000 ,               1.0000
     3125.0 ,    734932.6 ,   7173112.5 ,       550.1 ,              10.0000 ,               1.0000
     3175.0 ,    734932.7 ,   7173162.5 ,       550.1 ,              10.0000 ,               1.0000
     3225.0 ,    734932.8 ,   7173212.5 ,       550.1 ,              10.0000 ,               1.0000
       25.0 ,    734929.4 ,   7170012.5 ,       544.1 ,              10.0000 ,               1.0000
       75.0 ,    734929.4 ,   7170062.5 ,       544.0 ,              10.0000 ,               1.0000
      125.0 ,    734929.4 ,   7170112.5 ,       544.6 ,              10.0000 ,               1.0000
      175.0 ,    734929.5 ,   7170162.5 ,       547.0 ,              10.0000 ,               1.0000
      225.0 ,    734929.6 ,   7170212.5 ,       548.3 ,              10.0000 ,               1.0000
      275.0 ,    734929.6 ,   7170262.5 ,       548.1 ,              10.0000 ,               1.0000
      325.0 ,    734929.6 ,   7170312.5 ,       548.2 ,              10.0000 ,               1.0000
      375.0 ,    734929.7 ,   7170362.5 ,       548.1 ,              10.0000 ,               1.0000
      425.0 ,    734929.8 ,   7170412.5 ,       548.2 ,              10.0000 ,               1.0000
      475.0 ,    734929.8 ,   7170462.5 ,       548.2 ,              10.0000 ,               1.0000
      525.0 ,    734929.9 ,   7170512.5 ,       548.1 ,              10.0000 ,               1.0000
      575.0 ,    734929.9 ,   7170562.5 ,       548.2 ,              10.0000 ,               1.0000
      625.0 ,    734930.0 ,   7170612.5 ,       548.0 ,              10.0000 ,               1.0000
      675.0 ,    734930.0 ,   7170662.5 ,       549.1 ,              10.0000 ,               1.0000
      725.0 ,    734930.1 ,   7170712.5 ,       551.5 ,              10.0000 ,               1.0000
      775.0 ,    734930.1 ,   7170762.5 ,       552.3 ,              10.0000 ,               1.0000
      825.0 ,    734930.2 ,   7170812.5 ,       552.2 ,              10.0000 ,               1.0000
      875.0 ,    734930.2 ,   7170862.5 ,       552.2 ,              10.0000 ,               1.0000
      925.0 ,    734930.3 ,   7170912.5 ,       552.2 ,              10.0000 ,               1.0000
      975.0 ,    734930.4 ,   7170962.5 ,       552.2 ,              10.0000 ,               1.0000
     1025.0 ,    734930.4 ,   7171012.5 ,       552.2 ,              10.0000 ,               1.0000
     1075.0 ,    734930.4 ,   7171062.5 ,       552.2 ,              10.0000 ,               1.0000
     1125.0 ,    734930.5 ,   7171112.5 ,       552.2 ,              10.0000 ,               1.0000
     1175.0 ,    734930.6 ,   7171162.5 ,       552.2 ,               7.5000 ,               0.8751
     1225.0 ,    734930.6 ,   7171212.5 ,       552.1 ,               6.6667 ,               0.8239
     1275.0 ,    734930.6 ,   7171262.5 ,       553.9 ,               6.6667 ,               0.8239
     1325.0 ,    734930.7 ,   7171312.5 ,       556.1 ,               6.6667 ,               0.8239
     1375.0 ,    734930.8 ,   7171362.5 ,       556.3 ,               6.6667 ,               0.8239
     1425.0 ,    734930.8 ,   7171412.5 ,       556.2 ,               6.6667 ,               0.8239
     1475.0 ,    734930.9 ,   7171462.5 ,       556.4 ,               6.6667 ,               0.8239
     1525.0 ,    734930.9 ,   7171512.5 ,       555.5 ,               6.6667 ,               0.8239
     1575.0 ,    734931.0 ,   7171562.5 ,       553.1 ,               6.6667 ,               0.8239
     1625.0 ,    734931.0 ,   7171612.5 ,       552.2 ,               6.6667 ,               0.8239
     1675.0 ,    734931.1 ,   7171662.5 ,       550.8 ,               6.6667 ,               0.8239
     1725.0 ,    734931.1 ,   7171712.5 ,       548.5 ,               6.6667 ,               0.8239
     1775.0 ,    734931.2 ,   7171762.5 ,       548.1 ,               6.6667 ,               0.8239
     1825.0 ,    734931.2 ,   7171812.5 ,       550.3 ,               6.6667 ,               0.8239
     1875.0 ,    734931.3 ,   7171862.5 ,       552.3 ,               6.6667 ,               0.8239
     1925.0 ,    734931.4 ,   7171912.5 ,       552.2 ,               6.6667 ,               0.8239
     1975.0 ,    734931.4 ,   7171962.5 ,       552.2 ,               6.6667 ,               0.8239
     2025.0 ,    734931.4 ,   7172012.5 ,       552.3 ,              10.0000 ,               1.0000
     2075.0 ,    734931.5 ,   7172062.5 ,       551.0 ,              10.0000 ,               1.0000
     2125.0 ,    734931.6 ,   7172112.5 ,       548.7 ,              10.0000 ,               1.0000
     2175.0 ,    734931.6 ,   7172162.5 ,       548.1 ,              10.0000 ,               1.0000
     2225.0 ,    734931.6 ,   7172212.5 ,       548.2 ,              10.0000 ,               1.0000
     2275.0 ,    734931.8 ,   7172262.5 ,       548.2 ,              10.0000 ,               1.0000
     2325.0 ,    734931.8 ,   7172312.5 ,       547.8 ,              10.0000 ,               1.0000
     2375.0 ,    734931.8 ,   7172362.5 ,       545.5 ,              10.0000 ,               1.0000
     2425.0 ,    734931.9 ,   7172412.5 ,       543.9 ,              10.0000 ,               1.0000
     2475.0 ,    734931.9 ,   7172462.5 ,       544.1 ,              10.0000 ,               1.0000
     2525.0 ,    734932.0 ,   7172512.5 ,       544.1 ,              10.0000 ,               1.0000
     2575.0 ,    734932.1 ,   7172562.5 ,       544.1 ,              10.0000 ,               1.0000
     2625.0 ,    734932.1 ,   7172612.5 ,       544.1 ,              10.0000 ,               1.0000
     2675.0 ,    734932.1 ,   7172662.5 ,       544.1 ,              10.0000 ,               1.0000
     2725.0 ,    734932.2 ,   7172712.5 ,       542.0 ,              10.0000 ,               1.0000
     2775.0 ,    734932.2 ,   7172762.5 ,       540.0 ,              10.0000 ,               1.0000
     2825.0 ,    734932.3 ,   7172812.5 ,       540.1 ,              10.0000 ,               1.0000
     2875.0 ,    734932.4 ,   7172862.5 ,       540.0 ,              10.0000 ,               1.0000
     2925.0 ,    734932.4 ,   7172912.5 ,       540.1 ,              10.0000 ,               1.0000
     2975.0 ,    734932.5 ,   7172962.5 ,       540.1 ,              10.0000 ,               1.0000
     3025.0 ,    734932.5 ,   7173012.5 ,       540.1 ,              10.0000 ,               1.0000
     3075.0 ,    734932.6 ,   7173062.5 ,       540.1 ,              10.0000 ,               1.0000
     3125.0 ,    734932.6 ,   7173112.5 ,       540.1 ,              10.0000 ,               1.0000
     3175.0 ,    734932.7 ,   7173162.5 ,       540.1 ,              10.0000 ,               1.0000
     3225.0 ,    734932.8 ,   7173212.5 ,       540.1 ,              10.0000 ,               1.0000
       25.0 ,    734929.4 ,   7170012.5 ,       534.1 ,               0.9524 ,              -0.0212
       75.0 ,    734929.4 ,   7170062.5 ,       534.0 ,              10.0000 ,               1.0000
      125.0 ,    734929.4 ,   7170112.5 ,       534.6 ,              10.0000 ,               1.0000
      175.0 ,    734929.5 ,   7170162.5 ,       537.0 ,              10.0000 ,               1.0000
      225.0 ,    734929.6 ,   7170212.5 ,       538.3 ,              10.0000 ,               1.0000
      275.0 ,    734929.6 ,   7170262.5 ,       538.1 ,              10.0000 ,               1.0000
      325.0 ,    734929.6 ,   7170312.5 ,       538.2 ,              10.0000 ,               1.0000
      375.0 ,    734929.7 ,   7170362.5 ,       538.1 ,              10.0000 ,               1.0000
      425.0 ,    734929.8 ,   7170412.5 ,       538.2 ,              10.0000 ,               1.0000
      475.0 ,    734929.8 ,   7170462.5 ,       538.2 ,              10.0000 ,               1.0000
      525.0 ,    734929.9 ,   7170512.5 ,       538.1 ,              10.0000 ,               1.0000
      575.0 ,    734929.9 ,   7170562.5 ,       538.2 ,              10.0000 ,               1.0000
      625.0 ,    734930.0 ,   7170612.5 ,       538.0 ,              10.0000 ,               1.0000
      675.0 ,    734930.0 ,   7170662.5 ,       539.1 ,              10.0000 ,               1.0000
      725.0 ,    734930.1 ,   7170712.5 ,       541.5 ,              10.0000 ,               1.0000
      775.0 ,    734930.1 ,   7170762.5 ,       542.3 ,              10.0000 ,               1.0000
      825.0 ,    734930.2 ,   7170812.5 ,       542.2 ,              10.0000 ,               1.0000
      875.0 ,    734930.2 ,   7170862.5 ,       542.2 ,              10.0000 ,               1.0000
      925.0 ,    734930.3 ,   7170912.5 ,       542.2 ,              10.0000 ,               1.0000
      975.0 ,    734930.4 ,   7170962.5 ,       542.2 ,              10.0000 ,               1.0000
     1025.0 ,    734930.4 ,   7171012.5 ,       542.2 ,              10.0000 ,               1.0000
     1075.0 ,    734930.4 ,   7171062.5 ,       542.2 ,              10.0000 ,               1.0000
     1125.0 ,    734930.5 ,   7171112.5 ,       542.2 ,              10.0000 ,               1.0000
     1175.0 ,    734930.6 ,   7171162.5 ,       542.2 ,               6.6667 ,               0.8239
     1225.0 ,    734930.6 ,   7171212.5 ,       542.1 ,               6.6667 ,               0.8239
     1275.0 ,    734930.6 ,   7171262.5 ,       543.9 ,               6.6667 ,               0.8239
     1325.0 ,    734930.7 ,   7171312.5 ,       546.1 ,               6.6667 ,               0.8239
     1375.0 ,    734930.8 ,   7171362.5 ,       546.3 ,               6.6667 ,               0.8239
     1425.0 ,    734930.8 ,   7171412.5 ,       546.2 ,               6.6667 ,               0.8239
     1475.0 ,    734930.9 ,   7171462.5 ,       546.4 ,               6.6667 ,               0.8239
     1525.0 ,    734930.9 ,   7171512.5 ,       545.5 ,               6.6667 ,               0.8239
     1575.0 ,    734931.0 ,   7171562.5 ,       543.1 ,               6.6667 ,               0.8239
     1625.0 ,    734931.0 ,   7171612.5 ,       542.2 ,               6.6667 ,               0.8239
     1675.0 ,    734931.1 ,   7171662.5 ,       540.8 ,               6.6667 ,               0.8239
     1725.0 ,    734931.1 ,   7171712.5 ,       538.5 ,               6.6667 ,               0.8239
     1775.0 ,    734931.2 ,   7171762.5 ,       538.1 ,               6.6667 ,               0.8239
     1825.0 ,    734931.2 ,   7171812.5 ,       540.3 ,               6.6667 ,               0.8239
     1875.0 ,    734931.3 ,   7171862.5 ,       542.3 ,               6.6667 ,               0.8239
     1925.0 ,    734931.4 ,   7171912.5 ,       542.2 ,               6.6667 ,               0.8239
     1975.0 ,    734931.4 ,   7171962.5 ,       542.2 ,               6.6667 ,               0.8239
     2025.0 ,    734931.4 ,   7172012.5 ,       542.3 ,              10.0000 ,               1.0000
     2075.0 ,    734931.5 ,   7172062.5 ,       541.0 ,              10.0000 ,               1.0000
     2125.0 ,    734931.6 ,   7172112.5 ,       538.7 ,              10.0000 ,               1.0000
     2175.0 ,    734931.6 ,   7172162.5 ,       538.1 ,              10.0000 ,               1.0000
     2225.0 ,    734931.6 ,   7172212.5 ,       538.2 ,              10.0000 ,               1.0000
     2275.0 ,    734931.8 ,   7172262.5 ,       538.2 ,              10.0000 ,               1.0000
     2325.0 ,    734931.8 ,   7172312.5 ,       537.8 ,              10.0000 ,               1.0000
     2375.0 ,    734931.8 ,   7172362.5 ,       535.5 ,              10.0000 ,               1.0000
     2425.0 ,    734931.9 ,   7172412.5 ,       533.9 ,              10.0000 ,               1.0000
     2475.0 ,    734931.9 ,   7172462.5 ,       534.1 ,               0.9524 ,              -0.0212
     2525.0 ,    734932.0 ,   7172512.5 ,       534.1 ,              10.0000 ,               1.0000
     2575.0 ,    734932.1 ,   7172562.5 ,       534.1 ,              10.0000 ,               1.0000
     2625.0 ,    734932.1 ,   7172612.5 ,       534.1 ,              10.0000 ,               1.0000
     2675.0 ,    734932.1 ,   7172662.5 ,       534.1 ,              10.0000 ,               1.0000
     2725.0 ,    734932.2 ,   7172712.5 ,       532.0 ,              10.0000 ,               1.0000
     2775.0 ,    734932.2 ,   7172762.5 ,       530.0 ,              10.0000 ,               1.0000
     2825.0 ,    734932.3 ,   7172812.5 ,       530.1 ,              10.0000 ,               1.0000
     2875.0 ,    734932.4 ,   7172862.5 ,       530.0 ,              10.0000 ,               1.0000
     2925.0 ,    734932.4 ,   7172912.5 ,       530.1 ,              10.0000 ,               1.0000
     2975.0 ,    734932.5 ,   7172962.5 ,       530.1 ,              10.0000 ,               1.0000
     3025.0 ,    734932.5 ,   7173012.5 ,       530.1 ,              10.0000 ,               1.0000
     3075.0 ,    734932.6 ,   7173062.5 ,       530.1 ,              10.0000 ,               1.0000
     3125.0 ,    734932.6 ,   7173112.5 ,       530.1 ,              10.0000 ,               1.0000
     3175.0 ,    734932.7 ,   7173162.5 ,       530.1 ,              10.0000 ,               1.0000
     3225.0 ,    734932.8 ,   7173212.5 ,       530.1 ,              10.0000 ,               1.0000
       25.0 ,    734929.4 ,   7170012.5 ,       524.1 ,               0.7317 ,              -0.1357
       75.0 ,    734929.4 ,   7170062.5 ,       524.0 ,              10.0000 ,               1.0000
      125.0 ,    734929.4 ,   7170112.5 ,       524.6 ,              10.0000 ,               1.0000
      175.0 ,    734929.5 ,   7170162.5 ,       527.0 ,              10.0000 ,               1.0000
      225.0 ,    734929.6 ,   7170212.5 ,       528.3 ,              10.0000 ,               1.0000
      275.0 ,    734929.6 ,   7170262.5 ,       528.1 ,              10.0000 ,               1.0000
