 East  ,  RL  ,  Delpar	 
      50.0,      25.6,      0.07
      50.0,      22.6,      0.10
      50.0,      19.6,      0.13
      50.0,      16.6,      0.15
      50.0,      13.6,      0.16
      50.0,      10.6,      0.15
      50.0,       7.6,      0.13
      50.0,       4.6,      0.10
      50.0,       1.6,      0.08
      50.0,      -1.4,      0.07
      50.0,      -4.4,      0.05
      50.0,      -7.4,      0.04
      50.0,     -10.4,      0.03
      50.0,     -13.4,      0.02
      50.0,     -16.4,      0.02
      50.0,     -19.4,      0.02
      50.0,     -22.4,      0.01
      50.0,     -25.4,      0.01
      50.0,     -28.4,      0.01
      50.0,     -31.4,      0.01
      50.0,     -34.6,      0.01
      50.0,     -38.1,      0.01
      50.0,     -41.6,      0.01
      50.0,     -45.0,      0.01
      50.0,     -48.5,      0.01
      50.0,     -52.0,      0.00
      50.0,     -55.5,      0.00
      50.0,     -58.9,      0.00
      50.0,     -62.4,      0.00
      50.0,     -65.9,      0.00
     150.0,      24.6,      0.06
     150.0,      21.6,      0.11
     150.0,      18.6,      0.17
     150.0,      15.6,      0.21
     150.0,      12.6,      0.21
     150.0,       9.6,      0.19
     150.0,       6.6,      0.16
     150.0,       3.6,      0.13
     150.0,       0.6,      0.10
     150.0,      -2.4,      0.08
     150.0,      -5.4,      0.06
     150.0,      -8.4,      0.05
     150.0,     -11.4,      0.04
     150.0,     -14.4,      0.03
     150.0,     -17.4,      0.02
     150.0,     -20.4,      0.02
     150.0,     -23.4,      0.02
     150.0,     -26.4,      0.01
     150.0,     -29.4,      0.01
     150.0,     -32.4,      0.01
     150.0,     -35.6,      0.01
     150.0,     -39.0,      0.01
     150.0,     -42.3,      0.01
     150.0,     -45.7,      0.01
     150.0,     -49.1,      0.01
     150.0,     -52.4,      0.01
     150.0,     -55.8,      0.01
     150.0,     -59.2,      0.01
     150.0,     -62.6,      0.00
     150.0,     -65.9,      0.00
     250.0,      23.8,      0.02
     250.0,      20.8,      0.14
     250.0,      17.8,      0.27
     250.0,      14.8,      0.34
     250.0,      11.8,      0.34
     250.0,       8.8,      0.29
     250.0,       5.8,      0.23
     250.0,       2.8,      0.18
     250.0,      -0.2,      0.14
     250.0,      -3.2,      0.10
     250.0,      -6.2,      0.08
     250.0,      -9.2,      0.06
     250.0,     -12.2,      0.05
     250.0,     -15.2,      0.04
     250.0,     -18.2,      0.03
     250.0,     -21.2,      0.03
     250.0,     -24.2,      0.02
     250.0,     -27.2,      0.02
     250.0,     -30.2,      0.02
     250.0,     -33.2,      0.01
     250.0,     -36.3,      0.01
     250.0,     -39.6,      0.01
     250.0,     -42.9,      0.01
     250.0,     -46.2,      0.01
     250.0,     -49.5,      0.01
     250.0,     -52.8,      0.01
     250.0,     -56.1,      0.01
     250.0,     -59.4,      0.01
     250.0,     -62.7,      0.01
     250.0,     -66.0,      0.01
     350.0,      24.7,     -0.05
     350.0,      21.7,      0.15
     350.0,      18.7,      0.37
     350.0,      15.7,      0.49
     350.0,      12.7,      0.47
     350.0,       9.7,      0.39
     350.0,       6.7,      0.30
     350.0,       3.7,      0.23
     350.0,       0.7,      0.17
     350.0,      -2.3,      0.12
     350.0,      -5.3,      0.09
     350.0,      -8.3,      0.07
     350.0,     -11.3,      0.06
     350.0,     -14.3,      0.05
     350.0,     -17.3,      0.04
     350.0,     -20.3,      0.03
     350.0,     -23.3,      0.03
     350.0,     -26.3,      0.02
     350.0,     -29.3,      0.02
     350.0,     -32.3,      0.02
     350.0,     -35.5,      0.02
     350.0,     -38.9,      0.01
     350.0,     -42.2,      0.01
     350.0,     -45.6,      0.01
     350.0,     -49.0,      0.01
     350.0,     -52.4,      0.01
     350.0,     -55.8,      0.01
     350.0,     -59.2,      0.01
     350.0,     -62.6,      0.01
     350.0,     -65.9,      0.01
     450.0,      26.1,     -0.00
     450.0,      23.1,      0.19
     450.0,      20.1,      0.40
     450.0,      17.1,      0.52
     450.0,      14.1,      0.50
     450.0,      11.1,      0.41
     450.0,       8.1,      0.31
     450.0,       5.1,      0.23
     450.0,       2.1,      0.17
     450.0,      -0.9,      0.13
     450.0,      -3.9,      0.10
     450.0,      -6.9,      0.07
     450.0,      -9.9,      0.06
     450.0,     -12.9,      0.05
     450.0,     -15.9,      0.04
     450.0,     -18.9,      0.03
     450.0,     -21.9,      0.03
     450.0,     -24.9,      0.03
     450.0,     -27.9,      0.02
     450.0,     -30.9,      0.02
     450.0,     -34.2,      0.02
     450.0,     -37.7,      0.02
     450.0,     -41.2,      0.01
     450.0,     -44.7,      0.01
     450.0,     -48.2,      0.01
     450.0,     -51.8,      0.01
     450.0,     -55.3,      0.01
     450.0,     -58.8,      0.01
     450.0,     -62.3,      0.01
     450.0,     -65.9,      0.01
     550.0,      27.8,      0.28
     550.0,      24.8,      0.36
     550.0,      21.8,      0.42
     550.0,      18.8,      0.43
     550.0,      15.8,      0.39
     550.0,      12.8,      0.32
     550.0,       9.8,      0.25
     550.0,       6.8,      0.19
     550.0,       3.8,      0.15
     550.0,       0.8,      0.12
     550.0,      -2.2,      0.09
     550.0,      -5.2,      0.07
     550.0,      -8.2,      0.06
     550.0,     -11.2,      0.05
     550.0,     -14.2,      0.04
     550.0,     -17.2,      0.03
     550.0,     -20.2,      0.03
     550.0,     -23.2,      0.02
     550.0,     -26.2,      0.02
     550.0,     -29.2,      0.02
     550.0,     -32.6,      0.01
     550.0,     -36.3,      0.01
     550.0,     -39.9,      0.01
     550.0,     -43.6,      0.01
     550.0,     -47.3,      0.01
     550.0,     -51.0,      0.01
     550.0,     -54.7,      0.01
     550.0,     -58.4,      0.00
     550.0,     -62.1,      0.00
     550.0,     -65.8,      0.00
     650.0,      29.8,      0.60
     650.0,      26.8,      0.59
     650.0,      23.8,      0.45
     650.0,      20.8,      0.32
     650.0,      17.8,      0.25
